"intProjectID","strRollNumber","strProjRefNo","strLDU","strPACNo","strSMANo","datReportOfSurplus","intDisposalMethod","intPropertyTypeID","intPurchaserTypeID","intInterestSoldID"
465,"","","32066","378","846106",3/22/1999,1,1,1,1
466,"","","32762","","",8/5/1999,1,1,1,1
467,"","","0","","",,1,1,1,1
468,"","","0","0","846736",9/1/1999,1,1,1,1
469,"","","0","0","846734",1/7/1998,1,1,1,1
470,"","","76234","0","846990",10/1/1999,4,3,7,4
471,"","","76233","0","846988",10/16/1999,1,1,1,1
472,"","","0","0","840169",,1,1,1,1
473,"","","5785","0","847250",,1,1,1,1
474,"","","5785","0","847248",,1,1,1,1
475,"","","5786","0","847246",,1,1,1,1
476,"","","5786","0","847243",,1,1,1,1
477,"","","5508","0","847241",,1,1,1,1
478,"","","5500","0","847252",,1,1,1,1
479,"","","76233","0","847239",,1,1,1,1
480,"","","19900","0","847408",2/28/1900,4,3,4,4
481,"","","0","0","847406",2/28/1900,4,3,1,1
482,"","","0","0","847404",,4,3,4,4
483,"","","","","847410",,1,1,1,1
484,"","","","","847402",,1,1,1,1
485,"","","19917","0","847396",,1,1,1,1
486,"","","0","0","847394",,1,1,1,1
487,"","","","","847392",,1,1,1,1
488,"","","","","847390",,1,1,1,1
489,"","","19989","","847388",,1,1,1,1
490,"","","19983","","847386",,1,1,1,1
491,"","","19901","","847400",,1,1,1,1
492,"","","20130","0","847384",,1,1,1,1
493,"","","0","0","847381",,1,1,1,1
494,"","","0","0","847373",,1,1,1,1
495,"","","20042","0","847377",,1,1,1,1
496,"","","20047","","847379",,1,1,1,1
497,"","","17950","0","847577",4/3/1900,7,4,5,12
498,"","","0","0","847515",3/1/2000,1,1,1,1
499,"","","20004","0","847290",1/25/2000,4,2,4,4
500,"","","0","0","0",,1,1,1,1
501,"","","67668","","846997",10/26/1999,1,1,1,1
502,"","","36407","0","847870",6/8/1900,1,1,1,1
503,"","","17604","0","847966",8/17/1988,7,6,5,12
504,"","","19899","0","847398",,1,1,1,1
505,"","","5503","0","847623",5/1/1900,1,1,1,1
506,"","","","","848608",,1,1,1,1
507,"","","18570","0","848742",10/25/1900,1,1,1,1
508,"","","22936","0","848740",10/24/1900,1,3,1,4
509,"","","","","",,1,1,1,1
510,"","","84644","0","848643",11/15/1900,1,1,1,1
511,"","","","","",,1,1,1,1
512,"","","0","0","847693",,1,1,1,1
513,"","","0","0","0",,1,1,1,1
514,"","","","","",,7,4,5,6
515,"","","84830","","",,1,1,1,1
516,"","","","","",,1,1,1,1
517,"","","","","",5/3/2000,1,1,1,1
518,"","","0","0","766524",,8,5,9,6
519,"","","16757","0","850640",12/20/1901,2,6,3,6
520,"","","","","",11/20/2001,1,1,1,1
521,"","","","","",,1,1,1,1
522,"","","","","",,1,1,1,1
523,"","","","","",6/18/2001,1,1,1,1
524,"","","18213","0","850593",12/14/1901,7,4,5,12
525,"","","","","",,8,5,5,12
526,"","","","","",,8,1,5,12
527,"","","","","",,1,1,1,1
528,"","","33809","","850642",12/5/1901,1,1,1,1
529,"","","0","0","0",,1,1,1,1
530,"","","0","0","0",,8,5,2,6
531,"","","16864","0","0",,2,2,3,12
532,"","","16320","0","850692",12/1/1913,1,1,1,1
533,"","","22302","0","850694",12/1/1913,1,1,1,1
534,"","","5822","0","847621",,1,1,1,1
535,"","","5822","0","847622",5/1/1900,1,1,1,1
536,"","","","","",,1,1,1,1
537,"","","84395","","851282",,1,1,1,1
538,"","","20038","0","0",7/10/1902,1,1,1,1
539,"","","","0","851656",8/1/2002,8,5,1,4
545,"1235","234235","4545","13423","234235",8/14/2002,6,5,7,3
546,"","","","","",,1,1,1,1
548,"","","","","",,7,1,1,1
